#,Target,Mode,IP,"URL Rating","Domain Rating","Ahrefs Rank",Domains,"Ref domains Dofollow","Ref domains Governmental","Ref domains Educational","Ref IPs","Ref SubNets","Linked Domains","Total Backlinks","Backlinks Text","Backlinks NoFollow","Backlinks Redirect","Backlinks Image","Backlinks Frame","Backlinks Form","Backlinks Governmental","Backlinks Educational","Total Keywords","Total Traffic"
117,TheNewVirus.com,subdomains,15.197.204.56,,0.2,104630056,13,5,0,0,17,17,0,39,38,18,1,0,0,0,0,0,0,0
118,carz.com,subdomains,3.64.163.50,,0.9,73889662,119,53,0,0,96,86,4,695,695,281,0,16,0,0,0,0,0,0
119,z93.com,subdomains,199.59.243.225,,2.3,54119981,54,52,0,1,75,58,0,233,231,4,1,1,1,0,0,1,1,0
120,ThorShammer.com,subdomains,,,2.9,49124067,120,61,0,2,104,85,5,420,420,100,0,0,0,0,0,9,0,0
121,MontrealRealEstate.com,subdomains,,,4.5,39230367,61,32,0,1,45,42,5,171,168,71,0,3,0,0,0,1,0,0
122,fiufiu.com,subdomains,77.65.215.11,,13,17455034,66,56,0,0,73,67,7,555,548,10,7,93,0,0,0,0,0,0
123,webnshare.com,subdomains,103.152.79.146,,6,31030937,234,169,0,1,197,179,4,661,660,121,0,7,1,0,0,1,0,0
124,VitaSpecial.com,subdomains,,,9,23324634,46,42,0,0,47,40,7,385,385,101,0,1,0,0,0,0,0,0
125,ApolloBraun.com,subdomains,3.33.130.190,,1.8,59584709,48,43,0,0,68,56,2,297,297,8,0,14,0,0,0,0,0,0
126,wie.com,subdomains,,,2.6,51862661,44,40,0,3,34,34,0,83,83,9,0,0,0,0,0,6,0,0
127,truckz.com,subdomains,74.208.219.82,,19,11228495,35,27,0,0,37,36,61,121,121,27,0,14,0,0,0,0,2,0
128,WhatWouldJesusDo.com,subdomains,,,8,25941583,104,92,0,0,82,73,0,330,330,65,0,7,0,0,0,0,1,0
129,RockSolidGuitarStands.com,subdomains,23.227.38.32,,3.8,42600452,27,14,0,0,50,43,17,1334,1334,26,0,1161,0,0,0,0,95,83
130,TodaysInnovations.com,subdomains,3.33.130.190,,0.1,110382151,22,11,0,0,21,21,0,110,108,26,1,1,1,0,0,0,0,0
131,TheSight.com,subdomains,74.220.199.6,,5,35288903,39,36,0,0,58,51,0,1385,1383,14,0,760,1,0,0,0,0,0
132,bopo.com,subdomains,39.105.194.44,,2.8,49451908,10,5,0,0,13,13,2,25,25,11,0,6,0,0,0,0,0,0
133,ChoreCharts.com,subdomains,15.197.148.33,,7,30068096,90,69,0,0,97,75,65,530,494,70,8,32,0,0,0,0,0,0
134,PureHealthGuide.com,subdomains,103.42.108.46,,1.6,62571027,45,38,0,0,51,45,8,97,97,10,0,17,0,0,0,0,0,0
135,GeneFile.com,subdomains,,,0.1,113825583,12,7,0,0,14,14,0,893,893,816,0,0,0,0,0,0,0,0
136,AustinCityTaco.com,subdomains,3.70.101.28,,7,29261887,34,25,0,0,39,37,27,106,106,20,0,3,0,0,0,0,189,129
137,kwitco.com,subdomains,76.223.54.146,,6,32764698,44,31,0,0,56,52,1,114,111,47,0,14,3,0,0,0,1,0
138,AfricaDestinations.com,subdomains,,,0.3,97034685,27,23,0,0,24,23,1,98,97,26,0,8,0,0,0,0,0,0
139,LicensingClub.com,subdomains,15.197.148.33,,0.3,96495924,7,5,0,0,3,3,0,15,15,2,0,0,0,0,0,0,0,0
140,StrugglingWriter.com,subdomains,192.252.144.19,,1.3,67722825,45,34,0,1,59,46,1,297,295,14,2,3,0,0,0,11,0,0
141,CoinFloor.io,subdomains,160.153.43.136,,0,161142336,36,3,0,2,36,35,0,87,87,65,0,22,0,0,0,5,0,0
142,BreakoutSocial.com,subdomains,188.114.96.2,,1.2,68797415,15,12,0,0,15,15,22,32,32,4,0,2,0,0,0,0,0,0
143,ArkSilver.com,subdomains,,,1,71636906,13,5,0,0,13,12,6,93,44,11,49,1,0,0,0,0,6,5
144,fxpark.com,subdomains,,,1.3,67834159,25,16,0,0,28,25,0,223,221,56,2,0,0,0,0,0,0,0
145,Wild-Crab.com,subdomains,35.156.224.161,,0.3,98056844,59,40,0,0,49,46,8,266,266,187,0,36,0,0,0,0,240,147
146,Holdouts.com,subdomains,18.216.188.138,,0.3,96833211,12,6,0,0,14,14,0,191,191,15,0,0,0,0,0,0,0,0
147,ClairParts.com,subdomains,,,8,26001095,52,25,0,0,65,59,0,561,560,315,0,2,0,0,0,0,0,0
148,LeninMoreno.com,subdomains,15.197.148.33,,0,,5,1,0,0,5,5,0,11,11,9,0,0,0,0,0,0,0,0
